"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_read_16-3-64.csv 1 60",,,,"Date:","23 Oct 2017 23:41:27 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
7.106,11.301,79.098,0.182,2.312,0.0,18822.669,20800137.994,0.0,0.0,279699456.0,24256512.0,252416000.0,14149074944.0,5.0,100.0,26.0,68.0,2.0
33.416,26.335,37.019,0.497,2.733,0.0,0.0,4096.0,4380336.0,4401605.0,314888192.0,24256512.0,252428288.0,14113873920.0,4.0,98.0,0.0,66.0,1.0
31.665,21.151,43.680,0.0,3.504,0.0,0.0,0.0,8885504.0,8894099.0,324390912.0,24256512.0,252428288.0,14104371200.0,4.0,98.0,0.0,66.0,1.0
29.500,23.375,43.250,0.0,3.875,0.0,0.0,0.0,9823184.0,9837587.0,332820480.0,24256512.0,252428288.0,14095941632.0,4.0,98.0,0.0,66.0,1.0
11.375,16.750,68.125,0.0,3.750,0.0,0.0,0.0,9321515.0,9328881.0,351973376.0,24256512.0,252428288.0,14076788736.0,4.0,98.0,0.0,66.0,1.0
9.637,16.646,70.088,0.0,3.630,0.0,0.0,0.0,8855988.0,8863420.0,384749568.0,24256512.0,252428288.0,14044012544.0,4.0,98.0,0.0,66.0,1.0
8.875,16.750,70.500,0.0,3.875,0.0,0.0,0.0,9226627.0,9239740.0,382287872.0,24256512.0,252428288.0,14046474240.0,4.0,98.0,0.0,66.0,1.0
10.263,21.026,63.955,0.375,4.380,0.0,0.0,49152.0,10507476.0,10514121.0,384720896.0,24264704.0,252428288.0,14044033024.0,4.0,98.0,0.0,66.0,1.0
9.738,16.854,68.664,0.0,4.744,0.0,0.0,0.0,11065870.0,11068915.0,384012288.0,24264704.0,252428288.0,14044741632.0,4.0,98.0,0.0,66.0,1.0
