"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_write_4-2-16.csv 1 60",,,,"Date:","23 Oct 2017 21:26:13 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
6.022,9.322,82.646,0.362,1.648,0.0,52804.450,58401962.314,0.0,0.0,270618624.0,15110144.0,251592704.0,14168125440.0,4.0,19.0,0.0,18.0,0.0
15.423,15.299,67.537,0.373,1.368,0.0,0.0,45056.0,3169306.0,3166311.0,291577856.0,15114240.0,251604992.0,14147149824.0,4.0,27.0,0.0,18.0,0.0
8.479,11.596,78.554,0.0,1.372,0.0,0.0,0.0,3610634.0,3614127.0,291266560.0,15114240.0,251604992.0,14147461120.0,4.0,27.0,0.0,18.0,0.0
12.125,14.250,71.875,0.0,1.750,0.0,0.0,0.0,3353715.0,3349490.0,296308736.0,15114240.0,251604992.0,14142418944.0,4.0,27.0,0.0,18.0,0.0
6.508,11.514,80.726,0.0,1.252,0.0,0.0,0.0,3582081.0,3586822.0,296476672.0,15114240.0,251604992.0,14142251008.0,4.0,27.0,0.0,18.0,0.0
7.519,12.657,78.321,0.0,1.504,0.0,0.0,0.0,3518249.0,3509402.0,296484864.0,15114240.0,251604992.0,14142242816.0,4.0,27.0,0.0,18.0,0.0
5.853,11.831,80.573,0.374,1.370,0.0,0.0,12288.0,3561667.0,3561800.0,295284736.0,15122432.0,251604992.0,14143434752.0,4.0,27.0,0.0,18.0,0.0
6.391,11.654,79.699,0.0,2.256,0.0,0.0,0.0,3716653.0,3725763.0,294817792.0,15122432.0,251604992.0,14143901696.0,4.0,27.0,0.0,18.0,0.0
5.860,11.721,80.798,0.0,1.621,0.0,0.0,0.0,3565901.0,3559298.0,294346752.0,15122432.0,251604992.0,14144372736.0,4.0,27.0,0.0,18.0,0.0
