"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms5",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_read_32-2-64-2.csv 1 60",,,,"Date:","29 Oct 2017 22:06:34 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
2.484,5.859,89.016,0.605,2.036,0.0,62708.862,69273966.721,0.0,0.0,297074688.0,13000704.0,250437632.0,14139588608.0,4.0,130.0,0.0,66.0,0.0
22.208,22.084,50.868,0.0,4.839,0.0,0.0,0.0,6508732.0,6529834.0,312528896.0,13000704.0,250437632.0,14124134400.0,4.0,130.0,0.0,66.0,0.0
20.350,23.720,51.810,0.0,4.120,0.0,0.0,0.0,6855683.0,6835599.0,317206528.0,13000704.0,250437632.0,14119456768.0,4.0,130.0,0.0,66.0,0.0
19.650,21.402,56.195,0.0,2.753,0.0,0.0,0.0,7023994.0,7060668.0,325730304.0,13000704.0,250437632.0,14110932992.0,4.0,130.0,0.0,66.0,0.0
8.385,12.516,76.220,0.0,2.879,0.0,0.0,0.0,7357274.0,7356897.0,326193152.0,13000704.0,250437632.0,14110470144.0,4.0,130.0,0.0,66.0,0.0
4.250,11.375,81.750,0.375,2.250,0.0,0.0,36864.0,7275759.0,7272902.0,348471296.0,13008896.0,250437632.0,14088183808.0,4.0,130.0,0.0,66.0,0.0
5.112,12.219,81.421,0.0,1.247,0.0,0.0,0.0,7517803.0,7522158.0,376926208.0,13008896.0,250437632.0,14059728896.0,4.0,130.0,0.0,67.0,0.0
4.637,12.531,81.454,0.0,1.378,0.0,0.0,0.0,7488482.0,7485711.0,376393728.0,13008896.0,250437632.0,14060261376.0,4.0,130.0,0.0,67.0,0.0
4.250,12.500,81.875,0.0,1.375,0.0,0.0,0.0,7289023.0,7291542.0,377200640.0,13008896.0,250437632.0,14059454464.0,4.0,130.0,0.0,67.0,0.0
4.625,12.750,81.125,0.0,1.500,0.0,0.0,0.0,6912988.0,6912148.0,379645952.0,13008896.0,250437632.0,14057009152.0,4.0,130.0,0.0,67.0,0.0
4.500,12.375,81.875,0.0,1.250,0.0,0.0,0.0,7444751.0,7445507.0,379990016.0,13008896.0,250437632.0,14056665088.0,4.0,130.0,0.0,67.0,0.0
4.511,12.281,81.579,0.251,1.378,0.0,0.0,12288.0,7504961.0,7505297.0,379600896.0,13017088.0,250437632.0,14057046016.0,4.0,130.0,0.0,67.0,0.0
4.245,13.358,80.899,0.0,1.498,0.0,0.0,0.0,7415604.0,7415604.0,383774720.0,13017088.0,250437632.0,14052872192.0,4.0,130.0,0.0,67.0,0.0
4.380,12.641,81.602,0.0,1.377,0.0,0.0,0.0,7970212.0,7968284.0,421498880.0,13017088.0,250437632.0,14015148032.0,4.0,130.0,0.0,67.0,0.0
4.631,12.516,81.227,0.0,1.627,0.0,0.0,0.0,7449949.0,7451877.0,457199616.0,13017088.0,250437632.0,13979447296.0,4.0,130.0,0.0,66.0,0.0
7.740,14.981,75.281,0.0,1.998,0.0,0.0,0.0,6952176.0,6967026.0,489148416.0,13017088.0,250437632.0,13947498496.0,4.0,130.0,0.0,66.0,0.0
4.500,11.875,82.0,0.250,1.375,0.0,0.0,12288.0,7551397.0,7550142.0,488833024.0,13025280.0,250429440.0,13947813888.0,4.0,130.0,0.0,66.0,0.0
4.130,12.390,82.353,0.0,1.126,0.0,0.0,0.0,7157370.0,7158625.0,488792064.0,13025280.0,250437632.0,13947846656.0,4.0,130.0,0.0,66.0,0.0
4.750,13.250,79.500,0.0,2.500,0.0,0.0,0.0,10101369.0,10101605.0,489717760.0,13025280.0,250437632.0,13946920960.0,4.0,130.0,0.0,66.0,0.0
4.239,12.469,81.920,0.0,1.372,0.0,0.0,0.0,7268223.0,7269313.0,489410560.0,13025280.0,250437632.0,13947228160.0,4.0,130.0,0.0,66.0,0.0
4.255,12.641,81.852,0.0,1.252,0.0,0.0,0.0,7459445.0,7460033.0,489103360.0,13025280.0,250437632.0,13947535360.0,4.0,130.0,0.0,66.0,0.0
4.391,12.422,82.058,0.0,1.129,0.0,0.0,0.0,7431741.0,7431741.0,491642880.0,13025280.0,250437632.0,13944995840.0,4.0,130.0,0.0,2.0,0.0
4.250,12.125,79.625,2.625,1.375,0.0,0.0,53248.0,7075336.0,7075336.0,491196416.0,13033472.0,250429440.0,13945442304.0,4.0,130.0,0.0,2.0,0.0
4.619,12.360,81.648,0.0,1.373,0.0,0.0,0.0,7813881.0,7812958.0,491773952.0,13033472.0,250437632.0,13944856576.0,4.0,130.0,0.0,2.0,0.0
4.255,12.516,81.727,0.0,1.502,0.0,0.0,0.0,7974742.0,7975415.0,491876352.0,13033472.0,250437632.0,13944754176.0,4.0,130.0,0.0,2.0,0.0
4.506,11.765,82.353,0.0,1.377,0.0,0.0,0.0,7424697.0,7424947.0,491683840.0,13033472.0,250437632.0,13944946688.0,4.0,130.0,0.0,2.0,0.0
4.370,12.360,81.898,0.0,1.373,0.0,0.0,0.0,7277824.0,7277956.0,491216896.0,13033472.0,250437632.0,13945413632.0,4.0,130.0,0.0,2.0,0.0
4.255,12.140,82.353,0.0,1.252,0.0,0.0,40960.0,7297126.0,7297126.0,491122688.0,13033472.0,250441728.0,13945503744.0,4.0,130.0,0.0,2.0,0.0
4.250,12.125,82.250,0.250,1.125,0.0,0.0,20480.0,7045490.0,7045490.0,493309952.0,13041664.0,250441728.0,13943308288.0,4.0,130.0,0.0,2.0,0.0
4.130,12.390,82.353,0.0,1.126,0.0,0.0,0.0,7521656.0,7521656.0,493273088.0,13041664.0,250441728.0,13943345152.0,4.0,130.0,0.0,2.0,0.0
4.370,12.360,82.272,0.0,0.999,0.0,0.0,0.0,7354363.0,7354363.0,494137344.0,13041664.0,250441728.0,13942480896.0,4.0,130.0,0.0,2.0,0.0
4.245,12.984,81.149,0.0,1.623,0.0,0.0,0.0,8626401.0,8628182.0,493215744.0,13041664.0,250441728.0,13943402496.0,4.0,130.0,0.0,3.0,0.0
4.015,12.045,82.811,0.0,1.129,0.0,0.0,8192.0,6947952.0,6947952.0,493731840.0,13041664.0,250441728.0,13942886400.0,4.0,130.0,0.0,3.0,0.0
4.364,12.344,81.920,0.0,1.372,0.0,0.0,0.0,7575188.0,7575188.0,493780992.0,13041664.0,250441728.0,13942837248.0,4.0,130.0,0.0,3.0,0.0
4.380,12.265,81.977,0.250,1.126,0.0,0.0,20480.0,7520828.0,7520828.0,494346240.0,13049856.0,250433536.0,13942272000.0,4.0,130.0,0.0,3.0,0.0
3.125,12.500,79.0,0.0,5.375,0.0,0.0,0.0,5893764.0,5909142.0,494002176.0,13049856.0,250441728.0,13942607872.0,4.0,130.0,0.0,3.0,0.0
4.130,12.516,81.977,0.0,1.377,0.0,0.0,0.0,7671611.0,7671611.0,494047232.0,13049856.0,250441728.0,13942562816.0,4.0,130.0,0.0,2.0,0.0
4.380,12.015,82.228,0.0,1.377,0.0,0.0,0.0,7249737.0,7248749.0,494612480.0,13049856.0,250441728.0,13941997568.0,4.0,130.0,0.0,2.0,0.0
4.120,12.734,81.898,0.0,1.248,0.0,0.0,0.0,7777895.0,7778735.0,493932544.0,13049856.0,250441728.0,13942677504.0,4.0,130.0,0.0,2.0,0.0
4.130,12.516,81.977,0.0,1.377,0.0,0.0,0.0,7367491.0,7368481.0,496046080.0,13049856.0,250441728.0,13940563968.0,4.0,130.0,0.0,2.0,0.0
4.375,12.0,81.500,0.375,1.750,0.0,0.0,12288.0,7236894.0,7237488.0,496463872.0,13058048.0,250441728.0,13940137984.0,4.0,130.0,0.0,2.0,0.0
3.375,12.500,80.625,0.0,3.500,0.0,0.0,0.0,5780799.0,5781654.0,496041984.0,13058048.0,250441728.0,13940559872.0,4.0,130.0,0.0,2.0,0.0
4.625,12.250,81.0,0.0,2.125,0.0,0.0,0.0,7765374.0,7772769.0,496193536.0,13058048.0,250441728.0,13940408320.0,4.0,130.0,0.0,2.0,0.0
2.750,12.625,79.750,0.0,4.875,0.0,0.0,0.0,5026724.0,5070144.0,495550464.0,13058048.0,250441728.0,13941051392.0,4.0,130.0,0.0,2.0,0.0
1.629,12.907,76.441,0.0,9.023,0.0,0.0,0.0,3433322.0,3424225.0,495673344.0,13058048.0,250441728.0,13940928512.0,4.0,130.0,0.0,2.0,0.0
4.245,13.733,77.029,0.0,4.994,0.0,0.0,0.0,9617976.0,9629611.0,495923200.0,13058048.0,250441728.0,13940678656.0,4.0,130.0,0.0,2.0,0.0
4.375,12.625,80.750,0.375,1.875,0.0,0.0,12288.0,8266459.0,8277505.0,494403584.0,13066240.0,250433536.0,13942198272.0,4.0,130.0,0.0,2.0,0.0
4.506,12.015,82.228,0.0,1.252,0.0,0.0,0.0,7259715.0,7259715.0,494899200.0,13066240.0,250441728.0,13941694464.0,4.0,130.0,0.0,2.0,0.0
4.125,12.250,82.250,0.0,1.375,0.0,0.0,0.0,6945392.0,6945392.0,494100480.0,13066240.0,250441728.0,13942493184.0,4.0,130.0,0.0,2.0,0.0
4.255,12.140,82.228,0.0,1.377,0.0,0.0,0.0,6995210.0,6993784.0,494641152.0,13066240.0,250441728.0,13941952512.0,4.0,130.0,0.0,2.0,0.0
4.250,12.250,82.125,0.0,1.375,0.0,0.0,0.0,7534817.0,7534229.0,494735360.0,13066240.0,250441728.0,13941858304.0,4.0,130.0,0.0,2.0,0.0
4.0,12.750,80.0,0.0,3.250,0.0,0.0,0.0,8046952.0,8052452.0,496525312.0,13066240.0,250441728.0,13940068352.0,4.0,130.0,0.0,2.0,0.0
4.625,12.250,81.250,0.250,1.625,0.0,0.0,20480.0,7743064.0,7749305.0,496451584.0,13074432.0,250441728.0,13940133888.0,4.0,130.0,0.0,2.0,0.0
3.759,12.531,82.080,0.0,1.629,0.0,0.0,0.0,7591393.0,7592232.0,497168384.0,13074432.0,250441728.0,13939417088.0,4.0,130.0,0.0,2.0,0.0
4.359,12.827,81.196,0.0,1.619,0.0,0.0,0.0,8168973.0,8168531.0,496619520.0,13074432.0,250441728.0,13939965952.0,4.0,130.0,0.0,2.0,0.0
4.762,12.531,81.579,0.0,1.128,0.0,0.0,0.0,7646253.0,7650649.0,496680960.0,13074432.0,250441728.0,13939904512.0,4.0,130.0,0.0,2.0,0.0
6.250,12.750,78.250,0.0,2.750,0.0,0.0,0.0,6908772.0,6909107.0,492978176.0,13074432.0,250441728.0,13943607296.0,4.0,131.0,0.0,2.0,0.0
