"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_write_32-3-32-1.csv 1 60",,,,"Date:","26 Oct 2017 21:04:25 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
3.280,6.765,87.330,1.185,1.439,0.0,112588.132,124614915.245,0.0,0.0,254263296.0,12386304.0,251150336.0,14189867008.0,4.0,34.0,0.0,34.0,0.0
16.025,16.025,60.373,0.0,7.578,0.0,0.0,0.0,8368523.0,8316692.0,285573120.0,12386304.0,251150336.0,14158557184.0,4.0,90.0,0.0,34.0,0.0
9.398,15.163,72.807,0.0,2.632,0.0,0.0,0.0,11528003.0,11546563.0,292892672.0,12386304.0,251150336.0,14151237632.0,4.0,98.0,0.0,34.0,0.0
5.882,12.766,78.598,0.0,2.753,0.0,0.0,0.0,11652562.0,11643557.0,293085184.0,12386304.0,251150336.0,14151045120.0,4.0,98.0,0.0,34.0,0.0
6.625,13.250,77.250,0.0,2.875,0.0,0.0,0.0,12614522.0,12635330.0,292585472.0,12386304.0,251150336.0,14151544832.0,4.0,98.0,0.0,34.0,0.0
5.507,13.392,78.098,0.250,2.753,0.0,0.0,32768.0,11962031.0,11924998.0,292888576.0,12394496.0,251150336.0,14151233536.0,4.0,98.0,0.0,34.0,0.0
7.0,14.750,75.500,0.0,2.750,0.0,0.0,0.0,11330659.0,11362598.0,291758080.0,12394496.0,251150336.0,14152364032.0,4.0,98.0,0.0,34.0,0.0
6.125,14.125,77.375,0.0,2.375,0.0,0.0,0.0,12210430.0,12195438.0,293974016.0,12394496.0,251150336.0,14150148096.0,4.0,98.0,0.0,34.0,0.0
5.500,11.875,79.125,0.0,3.500,0.0,0.0,0.0,11678114.0,11677371.0,294543360.0,12394496.0,251150336.0,14149578752.0,4.0,98.0,0.0,34.0,0.0
5.625,13.750,78.125,0.0,2.500,0.0,0.0,0.0,12010851.0,12011508.0,294510592.0,12394496.0,251150336.0,14149611520.0,4.0,98.0,0.0,35.0,0.0
5.382,13.141,78.473,0.0,3.004,0.0,0.0,0.0,12219463.0,12234135.0,292704256.0,12394496.0,251150336.0,14151417856.0,4.0,98.0,0.0,35.0,0.0
6.0,13.125,75.375,2.625,2.875,0.0,0.0,12288.0,12086073.0,12076122.0,292466688.0,12402688.0,251142144.0,14151655424.0,4.0,98.0,0.0,35.0,0.0
5.757,13.141,78.723,0.0,2.378,0.0,0.0,0.0,11826954.0,11822223.0,290914304.0,12402688.0,251150336.0,14153199616.0,4.0,98.0,0.0,35.0,0.0
5.500,13.250,78.625,0.0,2.625,0.0,0.0,0.0,12019919.0,12018802.0,290369536.0,12402688.0,251150336.0,14153744384.0,4.0,98.0,0.0,35.0,0.0
5.625,13.250,78.625,0.0,2.500,0.0,0.0,0.0,11933499.0,11927012.0,290729984.0,12402688.0,251150336.0,14153383936.0,4.0,98.0,0.0,35.0,0.0
5.375,13.750,77.750,0.0,3.125,0.0,0.0,0.0,12033549.0,12067651.0,290009088.0,12402688.0,251150336.0,14154104832.0,4.0,98.0,0.0,35.0,0.0
5.875,13.125,77.875,0.0,3.125,0.0,0.0,0.0,11925847.0,11899358.0,289710080.0,12402688.0,251150336.0,14154403840.0,4.0,98.0,0.0,35.0,0.0
5.639,13.534,77.945,0.251,2.632,0.0,0.0,12288.0,12392179.0,12392177.0,286629888.0,12410880.0,251142144.0,14157484032.0,4.0,98.0,0.0,34.0,0.0
6.133,13.016,78.223,0.0,2.628,0.0,0.0,0.0,12213971.0,12213972.0,286937088.0,12410880.0,251150336.0,14157168640.0,4.0,98.0,0.0,34.0,0.0
5.611,12.968,78.678,0.0,2.743,0.0,0.0,0.0,11799823.0,11784029.0,284913664.0,12410880.0,251150336.0,14159192064.0,4.0,98.0,0.0,34.0,0.0
6.140,12.657,77.945,0.0,3.258,0.0,0.0,0.0,11974938.0,11962671.0,284737536.0,12410880.0,251150336.0,14159368192.0,4.0,98.0,0.0,34.0,0.0
5.875,12.875,78.875,0.0,2.375,0.0,0.0,0.0,11775822.0,11814882.0,282943488.0,12410880.0,251150336.0,14161162240.0,4.0,98.0,0.0,34.0,0.0
5.764,13.534,77.945,0.0,2.757,0.0,0.0,0.0,13006343.0,12960553.0,282353664.0,12410880.0,251150336.0,14161752064.0,4.0,98.0,0.0,34.0,0.0
5.993,12.734,77.403,0.125,3.745,0.0,0.0,12288.0,11989268.0,11989255.0,280432640.0,12419072.0,251142144.0,14163673088.0,4.0,98.0,0.0,34.0,0.0
6.117,12.484,78.527,0.0,2.871,0.0,0.0,0.0,11793815.0,11857574.0,280612864.0,12419072.0,251150336.0,14163484672.0,4.0,98.0,0.0,34.0,0.0
5.388,13.033,78.697,0.0,2.882,0.0,0.0,0.0,11387539.0,11358581.0,278437888.0,12419072.0,251150336.0,14165659648.0,4.0,98.0,0.0,2.0,0.0
6.0,12.500,78.500,0.0,3.0,0.0,0.0,69632.0,11324272.0,11298314.0,278507520.0,12419072.0,251150336.0,14165590016.0,4.0,98.0,0.0,2.0,0.0
6.0,12.625,78.625,0.0,2.750,0.0,0.0,0.0,11608121.0,11634079.0,278499328.0,12419072.0,251154432.0,14165594112.0,4.0,98.0,0.0,2.0,0.0
5.868,13.358,78.152,0.0,2.622,0.0,0.0,0.0,12066785.0,12049737.0,277323776.0,12419072.0,251154432.0,14166769664.0,4.0,98.0,0.0,2.0,0.0
5.882,12.641,78.348,0.250,2.879,0.0,0.0,20480.0,11839917.0,11862297.0,276725760.0,12427264.0,251154432.0,14167359488.0,4.0,98.0,0.0,2.0,0.0
