"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms5",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_read_24-3-8-2.csv 1 60",,,,"Date:","24 Oct 2017 21:12:47 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
2.369,5.578,89.976,0.555,1.522,0.0,46835.632,51881919.723,0.0,0.0,267276288.0,15233024.0,251568128.0,14173589504.0,4.0,34.0,0.0,10.0,0.0
7.960,14.055,76.244,0.0,1.741,0.0,0.0,0.0,4393005.0,4397382.0,287940608.0,15233024.0,251584512.0,14152908800.0,4.0,34.0,0.0,10.0,0.0
11.610,15.855,71.536,0.0,0.999,0.0,0.0,8192.0,5115474.0,5114232.0,290893824.0,15233024.0,251584512.0,14149955584.0,4.0,34.0,0.0,10.0,0.0
21.918,26.650,47.945,0.0,3.487,0.0,0.0,0.0,5595210.0,5599549.0,306008064.0,15233024.0,251584512.0,14134841344.0,4.0,34.0,0.0,10.0,0.0
12.688,17.211,69.095,0.0,1.005,0.0,0.0,0.0,5767312.0,5767397.0,307404800.0,15233024.0,251584512.0,14133444608.0,4.0,34.0,0.0,10.0,0.0
2.125,11.625,79.625,0.0,6.625,0.0,0.0,0.0,2727394.0,2732188.0,304697344.0,15233024.0,251584512.0,14136152064.0,4.0,34.0,0.0,10.0,0.0
3.990,10.474,84.040,0.374,1.122,0.0,0.0,45056.0,5609350.0,5610944.0,305446912.0,15241216.0,251584512.0,14135394304.0,4.0,34.0,0.0,10.0,0.0
4.380,10.889,84.105,0.0,0.626,0.0,0.0,4096.0,5674480.0,5673640.0,305373184.0,15241216.0,251584512.0,14135468032.0,4.0,34.0,0.0,10.0,0.0
2.875,11.250,82.125,0.0,3.750,0.0,0.0,0.0,4139904.0,4142978.0,305553408.0,15241216.0,251584512.0,14135287808.0,4.0,34.0,0.0,10.0,0.0
3.750,11.250,84.375,0.0,0.625,0.0,0.0,0.0,5760594.0,5765102.0,306446336.0,15241216.0,251584512.0,14134394880.0,4.0,34.0,0.0,10.0,0.0
3.379,10.638,83.855,0.0,2.128,0.0,0.0,0.0,5057973.0,5060722.0,303034368.0,15241216.0,251584512.0,14137806848.0,4.0,34.0,0.0,10.0,0.0
3.620,10.612,82.896,0.0,2.871,0.0,0.0,0.0,4917860.0,4920434.0,302616576.0,15241216.0,251584512.0,14138224640.0,4.0,34.0,0.0,10.0,0.0
3.254,10.638,82.478,0.250,3.379,0.0,0.0,12288.0,4194801.0,4200908.0,302972928.0,15249408.0,251584512.0,14137860096.0,4.0,34.0,0.0,10.0,0.0
4.0,10.625,84.625,0.0,0.750,0.0,0.0,0.0,5697786.0,5695770.0,302768128.0,15249408.0,251584512.0,14138064896.0,4.0,34.0,0.0,10.0,0.0
