"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_write_32-3-64-1.csv 1 60",,,,"Date:","24 Oct 2017 23:06:47 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
4.979,8.209,85.289,0.164,1.359,0.0,18089.887,22025847.667,0.0,0.0,294498304.0,23269376.0,251949056.0,14135730176.0,4.0,98.0,0.0,66.0,0.0
22.761,21.020,53.358,0.124,2.736,0.0,0.0,0.0,7321848.0,7326823.0,310341632.0,23269376.0,251949056.0,14119886848.0,4.0,98.0,0.0,66.0,0.0
12.045,17.440,67.252,0.0,3.262,0.0,0.0,0.0,9755466.0,9794083.0,311214080.0,23269376.0,251949056.0,14119014400.0,4.0,98.0,0.0,66.0,0.0
7.125,14.625,75.500,0.0,2.750,0.0,0.0,8192.0,7818887.0,7828615.0,315535360.0,23269376.0,251949056.0,14114693120.0,4.0,98.0,0.0,66.0,0.0
8.761,14.768,73.342,0.0,3.129,0.0,0.0,0.0,8043026.0,8022136.0,315854848.0,23269376.0,251949056.0,14114373632.0,4.0,98.0,0.0,66.0,0.0
7.0,14.250,75.625,0.500,2.625,0.0,0.0,40960.0,6761579.0,6818883.0,328364032.0,23273472.0,251944960.0,14101864448.0,4.0,98.0,0.0,66.0,0.0
6.767,13.033,78.195,0.0,2.005,0.0,0.0,0.0,5278363.0,5302605.0,357474304.0,23273472.0,251949056.0,14072750080.0,4.0,98.0,0.0,67.0,0.0
7.0,14.625,76.250,0.0,2.125,0.0,0.0,0.0,6269884.0,6271265.0,368603136.0,23273472.0,251949056.0,14061621248.0,4.0,98.0,0.0,67.0,0.0
7.250,15.250,74.750,0.0,2.750,0.0,0.0,0.0,8135855.0,8157578.0,369057792.0,23273472.0,251949056.0,14061166592.0,4.0,98.0,0.0,67.0,0.0
7.259,14.268,75.970,0.0,2.503,0.0,0.0,0.0,7476974.0,7479399.0,368111616.0,23273472.0,251949056.0,14062112768.0,4.0,98.0,0.0,67.0,0.0
9.613,15.231,71.910,0.0,3.246,0.0,0.0,0.0,7723326.0,7705581.0,372326400.0,23273472.0,251949056.0,14057897984.0,4.0,98.0,0.0,66.0,0.0
7.134,14.393,75.845,0.250,2.378,0.0,0.0,12288.0,7113741.0,7146659.0,370778112.0,23277568.0,251944960.0,14059446272.0,4.0,98.0,0.0,66.0,0.0
