"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_thrp_write_8-3-8-1.csv 1 60",,,,"Date:","26 Oct 2017 21:38:14 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
2.948,6.127,88.766,0.625,1.534,0.0,57302.656,63422250.639,0.0,0.0,255774720.0,13893632.0,251248640.0,14186749952.0,4.0,34.0,0.0,26.0,0.0
12.827,16.812,64.633,0.0,5.729,0.0,0.0,0.0,5286813.0,13485359.0,283942912.0,13893632.0,251248640.0,14158581760.0,4.0,50.0,0.0,26.0,0.0
7.509,15.144,73.342,0.0,4.005,0.0,0.0,0.0,5572761.0,14242107.0,284667904.0,13893632.0,251248640.0,14157856768.0,4.0,50.0,0.0,26.0,0.0
5.382,12.516,79.725,0.0,2.378,0.0,0.0,0.0,6442410.0,16490369.0,288817152.0,13893632.0,251248640.0,14153707520.0,4.0,50.0,0.0,26.0,0.0
5.368,12.734,79.650,0.0,2.247,0.0,0.0,0.0,6500128.0,16638055.0,288768000.0,13893632.0,251248640.0,14153756672.0,4.0,50.0,0.0,26.0,0.0
5.882,12.641,78.223,0.375,2.879,0.0,0.0,32768.0,6495090.0,16647531.0,289918976.0,13901824.0,251240448.0,14152605696.0,4.0,50.0,0.0,26.0,0.0
5.0,12.625,79.0,0.0,3.375,0.0,0.0,0.0,5936090.0,15171794.0,289386496.0,13901824.0,251248640.0,14153129984.0,4.0,50.0,0.0,26.0,0.0
5.625,12.250,79.750,0.0,2.375,0.0,0.0,0.0,6447519.0,16503319.0,287035392.0,13901824.0,251248640.0,14155481088.0,4.0,50.0,0.0,26.0,0.0
5.868,12.110,79.401,0.0,2.622,0.0,0.0,0.0,6087301.0,15622075.0,286744576.0,13901824.0,251248640.0,14155771904.0,4.0,50.0,0.0,26.0,0.0
5.507,12.265,79.725,0.0,2.503,0.0,0.0,0.0,6111013.0,15612756.0,288333824.0,13901824.0,251248640.0,14154182656.0,4.0,50.0,0.0,26.0,0.0
5.382,12.766,79.474,0.0,2.378,0.0,0.0,0.0,6419627.0,16444361.0,288505856.0,13901824.0,251248640.0,14154010624.0,4.0,50.0,0.0,26.0,0.0
5.131,12.516,79.224,0.250,2.879,0.0,0.0,12288.0,6241191.0,15994391.0,286486528.0,13910016.0,251248640.0,14156021760.0,4.0,50.0,0.0,26.0,0.0
5.125,12.375,78.750,0.0,3.750,0.0,0.0,0.0,5706922.0,14591716.0,289214464.0,13910016.0,251248640.0,14153293824.0,4.0,50.0,0.0,26.0,0.0
5.493,12.609,78.777,0.0,3.121,0.0,0.0,0.0,6087850.0,15606719.0,288845824.0,13910016.0,251248640.0,14153662464.0,4.0,50.0,0.0,27.0,0.0
