"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_multi_get_non_shard_2-1-64-3-1.csv 1 60",,,,"Date:","02 Dec 2017 12:09:55 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
2.643,6.746,86.320,0.611,3.680,0.0,59104.698,64838026.642,0.0,0.0,272134144.0,13877248.0,257654784.0,14156435456.0,4.0,196.0,0.0,2.0,0.0
10.988,14.815,72.840,0.370,0.988,0.0,77824.0,122880.0,1597164.0,2389598.0,316841984.0,13885440.0,257740800.0,14111633408.0,4.0,200.0,0.0,2.0,0.0
8.145,12.782,78.070,0.0,1.003,0.0,0.0,0.0,2020540.0,3050757.0,318390272.0,13885440.0,257740800.0,14110085120.0,4.0,200.0,0.0,2.0,0.0
4.506,10.889,83.980,0.0,0.626,0.0,0.0,0.0,2303994.0,3483597.0,318611456.0,13885440.0,257740800.0,14109863936.0,4.0,200.0,0.0,2.0,0.0
4.625,11.250,82.625,0.0,1.500,0.0,0.0,0.0,2137778.0,3254866.0,319352832.0,13885440.0,257740800.0,14109122560.0,4.0,200.0,0.0,2.0,0.0
3.870,10.487,85.019,0.0,0.624,0.0,0.0,0.0,2329937.0,3523321.0,319569920.0,13885440.0,257740800.0,14108905472.0,4.0,200.0,0.0,2.0,0.0
4.750,10.750,83.0,0.750,0.750,0.0,0.0,81920.0,2220150.0,3358233.0,319062016.0,13893632.0,257740800.0,14109405184.0,4.0,200.0,0.0,2.0,0.0
7.644,14.536,77.318,0.0,0.501,0.0,0.0,0.0,2359762.0,3557350.0,326045696.0,13893632.0,257740800.0,14102421504.0,4.0,200.0,0.0,3.0,0.0
5.618,11.735,81.024,0.0,1.623,0.0,0.0,0.0,2146339.0,3238542.0,331714560.0,13893632.0,257740800.0,14096752640.0,4.0,200.0,0.0,3.0,0.0
3.875,10.625,84.875,0.0,0.625,0.0,0.0,0.0,2313964.0,3484184.0,331587584.0,13893632.0,257740800.0,14096879616.0,4.0,200.0,0.0,3.0,0.0
3.865,11.471,81.671,0.0,2.993,0.0,0.0,0.0,1837012.0,2766108.0,331214848.0,13893632.0,257740800.0,14097252352.0,4.0,200.0,0.0,3.0,0.0
4.756,10.763,83.229,0.501,0.751,0.0,0.0,12288.0,2225783.0,3356952.0,329699328.0,13901824.0,257732608.0,14098767872.0,4.0,200.0,0.0,2.0,0.0
5.257,11.765,82.353,0.0,0.626,0.0,0.0,0.0,2336813.0,3514937.0,335687680.0,13901824.0,257740800.0,14092771328.0,4.0,200.0,0.0,2.0,0.0
8.761,16.521,73.717,0.0,1.001,0.0,0.0,0.0,2199183.0,3301543.0,358309888.0,13901824.0,257740800.0,14070149120.0,4.0,200.0,0.0,2.0,0.0
3.750,10.250,85.375,0.0,0.625,0.0,0.0,0.0,2349466.0,3523326.0,370151424.0,13901824.0,257740800.0,14058307584.0,4.0,200.0,0.0,2.0,0.0
5.618,11.860,81.024,0.0,1.498,0.0,0.0,0.0,2100085.0,3168135.0,380747776.0,13901824.0,257740800.0,14047711232.0,4.0,200.0,0.0,2.0,0.0
