"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms5",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_multi_get_shard_2-3-64-9-2.csv 1 60",,,,"Date:","02 Dec 2017 12:04:19 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
2.657,6.999,85.586,0.647,4.110,0.0,64106.539,70378827.626,0.0,0.0,315899904.0,13070336.0,257642496.0,14113488896.0,4.0,200.0,0.0,195.0,0.0
7.205,14.783,75.404,0.0,2.609,0.0,0.0,0.0,3287851.0,4108223.0,319340544.0,13070336.0,257642496.0,14110048256.0,4.0,200.0,0.0,3.0,0.0
5.375,11.625,82.125,0.0,0.875,0.0,0.0,0.0,3577014.0,4481512.0,317595648.0,13070336.0,257642496.0,14111793152.0,4.0,200.0,0.0,3.0,0.0
3.630,10.638,84.981,0.0,0.751,0.0,0.0,0.0,3542814.0,4417688.0,318074880.0,13070336.0,257642496.0,14111313920.0,4.0,200.0,0.0,3.0,0.0
3.865,10.723,84.663,0.0,0.748,0.0,0.0,0.0,3479434.0,4288302.0,317341696.0,13070336.0,257642496.0,14112047104.0,4.0,200.0,0.0,3.0,0.0
4.506,10.513,83.605,0.501,0.876,0.0,0.0,36864.0,3479087.0,4250287.0,323862528.0,13078528.0,257634304.0,14105526272.0,4.0,200.0,0.0,3.0,0.0
3.625,10.625,85.375,0.0,0.375,0.0,0.0,0.0,3508198.0,4286229.0,324186112.0,13078528.0,257642496.0,14105194496.0,4.0,200.0,0.0,3.0,0.0
5.375,10.750,82.750,0.0,1.125,0.0,0.0,4096.0,3565541.0,4378664.0,328122368.0,13078528.0,257642496.0,14101258240.0,4.0,200.0,0.0,3.0,0.0
4.613,11.347,83.292,0.0,0.748,0.0,0.0,0.0,3704207.0,4543672.0,342679552.0,13078528.0,257642496.0,14086701056.0,4.0,200.0,0.0,3.0,0.0
7.528,13.676,77.917,0.0,0.878,0.0,0.0,0.0,3630151.0,4442878.0,359112704.0,13078528.0,257642496.0,14070267904.0,4.0,200.0,0.0,3.0,0.0
5.500,11.500,81.500,0.0,1.500,0.0,0.0,0.0,3580965.0,4402553.0,377499648.0,13078528.0,257642496.0,14051880960.0,4.0,200.0,0.0,3.0,0.0
3.745,10.237,83.271,1.748,0.999,0.0,0.0,8192.0,3686846.0,4515376.0,377249792.0,13086720.0,257634304.0,14052130816.0,4.0,200.0,0.0,3.0,0.0
3.625,10.125,84.625,1.125,0.500,0.0,0.0,4096.0,3497045.0,4288635.0,377430016.0,13086720.0,257642496.0,14051942400.0,4.0,200.0,0.0,3.0,0.0
3.383,10.401,85.714,0.0,0.501,0.0,0.0,0.0,3513525.0,4312228.0,377409536.0,13086720.0,257642496.0,14051962880.0,4.0,200.0,0.0,3.0,0.0
3.990,10.100,85.411,0.0,0.499,0.0,0.0,0.0,3505834.0,4287024.0,377421824.0,13086720.0,257642496.0,14051950592.0,4.0,200.0,0.0,3.0,0.0
3.379,10.013,85.857,0.0,0.751,0.0,0.0,0.0,3452482.0,4263129.0,377208832.0,13086720.0,257642496.0,14052163584.0,4.0,200.0,0.0,3.0,0.0
3.745,10.237,85.393,0.0,0.624,0.0,0.0,0.0,3668579.0,4485631.0,383791104.0,13086720.0,257642496.0,14045581312.0,4.0,200.0,0.0,2.0,0.0
3.630,10.263,84.731,0.751,0.626,0.0,0.0,12288.0,3614746.0,4418973.0,384004096.0,13094912.0,257634304.0,14045368320.0,4.0,200.0,0.0,2.0,0.0
3.0,10.250,85.0,0.0,1.750,0.0,0.0,0.0,3197822.0,3929580.0,383590400.0,13094912.0,257642496.0,14045773824.0,4.0,200.0,0.0,2.0,0.0
3.491,10.224,85.661,0.0,0.623,0.0,0.0,0.0,3517148.0,4285946.0,383942656.0,13094912.0,257642496.0,14045421568.0,4.0,200.0,0.0,2.0,0.0
3.258,10.401,85.965,0.0,0.376,0.0,0.0,0.0,3457472.0,4272257.0,383913984.0,13094912.0,257642496.0,14045450240.0,4.0,200.0,0.0,2.0,0.0
4.875,10.625,83.750,0.0,0.750,0.0,0.0,0.0,3566376.0,4353713.0,385720320.0,13094912.0,257642496.0,14043643904.0,4.0,200.0,0.0,2.0,0.0
3.496,10.487,85.518,0.0,0.499,0.0,0.0,0.0,3756491.0,4605727.0,394248192.0,13094912.0,257642496.0,14035116032.0,4.0,200.0,0.0,2.0,0.0
3.504,10.263,85.232,0.501,0.501,0.0,0.0,12288.0,3651627.0,4459336.0,415338496.0,13103104.0,257634304.0,14014025728.0,4.0,200.0,0.0,2.0,0.0
3.375,10.625,85.125,0.0,0.875,0.0,0.0,0.0,3978779.0,4875147.0,436183040.0,13103104.0,257642496.0,13993172992.0,4.0,200.0,0.0,3.0,0.0
2.996,11.236,84.519,0.0,1.248,0.0,0.0,0.0,3783005.0,4621753.0,453107712.0,13103104.0,257642496.0,13976248320.0,4.0,200.0,0.0,3.0,0.0
