"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_2k_3-1-32-3-1.csv 1 60",,,,"Date:","05 Nov 2017 23:20:17 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
3.275,7.621,86.667,0.358,2.079,0.0,24299.001,26678608.111,0.0,0.0,288718848.0,20934656.0,257847296.0,14140166144.0,4.0,150.0,12.0,99.0,0.0
23.609,24.969,46.848,0.0,4.574,0.0,0.0,0.0,9300239.0,16799606.0,312000512.0,20934656.0,257851392.0,14116880384.0,4.0,259.0,31.0,98.0,0.0
18.193,24.090,47.051,0.0,10.665,0.0,0.0,0.0,7982665.0,14443101.0,313659392.0,20934656.0,257851392.0,14115221504.0,4.0,290.0,0.0,98.0,0.0
21.902,19.524,51.564,0.0,7.009,0.0,0.0,0.0,11894088.0,21717537.0,315715584.0,20934656.0,257851392.0,14113165312.0,4.0,290.0,0.0,98.0,0.0
14.125,18.375,61.250,0.0,6.250,0.0,0.0,0.0,13455012.0,24514420.0,313229312.0,20934656.0,257851392.0,14115651584.0,4.0,290.0,0.0,98.0,0.0
7.116,14.232,71.785,0.0,6.866,0.0,0.0,16384.0,12687052.0,23070806.0,315424768.0,20934656.0,257851392.0,14113456128.0,4.0,290.0,0.0,98.0,0.0
8.761,15.269,69.462,0.250,6.258,0.0,0.0,45056.0,12629795.0,23076692.0,318812160.0,20942848.0,257851392.0,14110060544.0,4.0,290.0,0.0,98.0,0.0
7.375,13.0,73.250,0.0,6.375,0.0,0.0,0.0,13236284.0,24093852.0,321126400.0,20942848.0,257851392.0,14107746304.0,4.0,290.0,0.0,98.0,0.0
6.125,14.125,73.750,0.0,6.0,0.0,0.0,0.0,13099380.0,23849516.0,346714112.0,20942848.0,257851392.0,14082158592.0,4.0,290.0,0.0,98.0,0.0
6.0,13.750,72.500,0.0,7.750,0.0,0.0,0.0,12451672.0,22684522.0,348594176.0,20942848.0,257851392.0,14080278528.0,4.0,290.0,0.0,98.0,0.0
