"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_2k_2-1-32-1-1.csv 1 60",,,,"Date:","05 Nov 2017 22:11:25 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
2.933,7.211,87.401,0.553,1.902,0.0,41922.280,46023863.505,0.0,0.0,285331456.0,16330752.0,257638400.0,14148366336.0,4.0,118.0,63.0,18.0,0.0
25.217,25.093,45.093,0.0,4.596,0.0,0.0,0.0,8956820.0,8946780.0,303685632.0,16330752.0,257642496.0,14130008064.0,4.0,258.0,0.0,18.0,0.0
20.0,26.750,47.500,0.0,5.750,0.0,0.0,0.0,11188676.0,11207196.0,310435840.0,16330752.0,257642496.0,14123257856.0,4.0,258.0,0.0,18.0,0.0
9.262,17.021,69.462,0.0,4.255,0.0,0.0,0.0,16880352.0,16877526.0,310366208.0,16330752.0,257642496.0,14123327488.0,4.0,258.0,0.0,18.0,0.0
8.750,16.875,68.875,0.0,5.500,0.0,0.0,0.0,15387839.0,15403210.0,309477376.0,16330752.0,257646592.0,14124212224.0,4.0,259.0,0.0,18.0,0.0
6.125,14.375,75.375,0.125,4.0,0.0,0.0,32768.0,16931541.0,16918052.0,310378496.0,16338944.0,257638400.0,14123311104.0,4.0,259.0,0.0,18.0,0.0
6.008,13.892,75.594,0.501,4.005,0.0,0.0,4096.0,17337768.0,17352099.0,307331072.0,16338944.0,257646592.0,14126350336.0,4.0,259.0,0.0,18.0,0.0
6.008,13.642,75.970,0.0,4.380,0.0,0.0,0.0,17846247.0,17846832.0,306659328.0,16338944.0,257646592.0,14127022080.0,4.0,259.0,0.0,18.0,0.0
5.743,14.107,76.529,0.0,3.620,0.0,0.0,0.0,17675931.0,17675215.0,305872896.0,16338944.0,257646592.0,14127808512.0,4.0,259.0,0.0,18.0,0.0
5.750,14.125,75.125,0.0,5.0,0.0,0.0,4096.0,15942175.0,15958427.0,302841856.0,16338944.0,257642496.0,14130843648.0,4.0,258.0,0.0,18.0,0.0
5.882,13.642,75.970,0.0,4.506,0.0,0.0,0.0,14807352.0,14814164.0,302100480.0,16338944.0,257642496.0,14131585024.0,4.0,259.0,0.0,18.0,0.0
5.632,14.018,74.844,0.375,5.131,0.0,0.0,16384.0,14713635.0,14715390.0,299532288.0,16347136.0,257642496.0,14134145024.0,4.0,258.0,0.0,19.0,0.0
7.875,13.875,73.875,0.0,4.375,0.0,0.0,0.0,14037162.0,14038591.0,298401792.0,16347136.0,257642496.0,14135275520.0,4.0,258.0,0.0,19.0,0.0
5.750,13.375,75.500,0.0,5.375,0.0,0.0,0.0,13848910.0,13845868.0,298029056.0,16347136.0,257642496.0,14135648256.0,4.0,258.0,0.0,19.0,0.0
6.0,13.0,75.750,0.0,5.250,0.0,0.0,0.0,13824764.0,13830148.0,295780352.0,16347136.0,257642496.0,14137896960.0,4.0,258.0,0.0,19.0,0.0
5.743,13.608,75.531,0.0,5.119,0.0,0.0,0.0,13324576.0,13323503.0,295436288.0,16347136.0,257642496.0,14138241024.0,4.0,258.0,0.0,18.0,0.0
5.514,13.784,75.188,0.0,5.514,0.0,0.0,0.0,13128121.0,13142634.0,293474304.0,16347136.0,257642496.0,14140203008.0,4.0,258.0,0.0,18.0,0.0
6.0,13.0,76.625,0.750,3.625,0.0,0.0,0.0,13987376.0,13996773.0,291979264.0,16351232.0,257638400.0,14141698048.0,4.0,258.0,0.0,18.0,0.0
6.0,13.125,74.375,1.625,4.875,0.0,0.0,12288.0,14353173.0,14360058.0,290070528.0,16355328.0,257642496.0,14143598592.0,4.0,258.0,0.0,18.0,0.0
6.008,13.141,76.345,0.0,4.506,0.0,0.0,45056.0,15622464.0,15618141.0,289374208.0,16355328.0,257642496.0,14144294912.0,4.0,258.0,0.0,18.0,0.0
5.993,13.608,75.905,0.0,4.494,0.0,0.0,0.0,15633998.0,15638485.0,287117312.0,16355328.0,257642496.0,14146551808.0,4.0,258.0,0.0,18.0,0.0
