"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","cribin17"
"Cmdline:","dstat -c -dnm --noheader --nocolor --tcp --output dstat_2k_3-1-32-3-1.csv 1 60",,,,"Date:","05 Nov 2017 21:53:06 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","lis","act","syn","tim","clo"
2.850,7.058,87.675,0.663,1.754,0.0,51827.937,57018637.933,0.0,0.0,288415744.0,15052800.0,257081344.0,14147117056.0,4.0,168.0,64.0,98.0,0.0
18.657,24.129,51.741,0.0,5.473,0.0,0.0,0.0,9514647.0,23986980.0,304439296.0,15052800.0,257085440.0,14131089408.0,4.0,290.0,0.0,98.0,0.0
7.750,16.375,69.875,0.0,6.0,0.0,0.0,0.0,11173705.0,28619113.0,304619520.0,15052800.0,257085440.0,14130909184.0,4.0,290.0,0.0,98.0,0.0
5.375,14.0,74.125,0.0,6.500,0.0,0.0,4096.0,11580708.0,29622181.0,309551104.0,15052800.0,257085440.0,14125977600.0,4.0,290.0,0.0,98.0,0.0
6.250,13.250,71.750,0.0,8.750,0.0,0.0,0.0,10819054.0,27717044.0,358608896.0,15052800.0,257085440.0,14076919808.0,4.0,290.0,0.0,98.0,0.0
6.375,13.375,73.750,0.250,6.250,0.0,0.0,36864.0,11684655.0,29915812.0,358678528.0,15060992.0,257077248.0,14076850176.0,4.0,290.0,0.0,99.0,0.0
5.382,13.892,74.218,0.0,6.508,0.0,0.0,0.0,10977486.0,28085709.0,358985728.0,15060992.0,257085440.0,14076534784.0,4.0,290.0,0.0,99.0,0.0
5.882,13.392,75.219,0.0,5.507,0.0,0.0,0.0,11646176.0,29821934.0,360235008.0,15060992.0,257085440.0,14075285504.0,4.0,290.0,0.0,99.0,0.0
5.486,12.843,74.688,0.0,6.983,0.0,0.0,0.0,11361474.0,29072990.0,360087552.0,15060992.0,257085440.0,14075432960.0,4.0,290.0,0.0,99.0,0.0
5.632,12.891,74.343,0.0,7.134,0.0,0.0,0.0,11682808.0,29955874.0,354267136.0,15060992.0,257085440.0,14081253376.0,4.0,290.0,0.0,99.0,0.0
5.714,14.286,74.037,0.0,5.963,0.0,0.0,0.0,11645823.0,29831680.0,353873920.0,15060992.0,257085440.0,14081646592.0,4.0,290.0,0.0,98.0,0.0
6.045,13.854,73.048,0.0,7.053,0.0,0.0,0.0,11487595.0,29342904.0,349433856.0,15060992.0,257085440.0,14086086656.0,4.0,290.0,0.0,98.0,0.0
5.507,11.139,76.596,0.125,6.633,0.0,0.0,12288.0,11130673.0,28529876.0,349437952.0,15069184.0,257085440.0,14086074368.0,4.0,290.0,0.0,98.0,0.0
5.625,14.125,72.250,0.0,8.0,0.0,0.0,0.0,11761175.0,30114117.0,349270016.0,15069184.0,257085440.0,14086242304.0,4.0,290.0,0.0,98.0,0.0
6.875,14.250,73.0,0.0,5.875,0.0,0.0,0.0,12342042.0,31599581.0,344551424.0,15069184.0,257085440.0,14090960896.0,4.0,290.0,0.0,98.0,0.0
6.250,13.500,73.375,0.0,6.875,0.0,0.0,0.0,11823297.0,30236941.0,343990272.0,15069184.0,257085440.0,14091522048.0,4.0,290.0,0.0,98.0,0.0
5.250,13.625,74.125,0.0,7.0,0.0,0.0,0.0,11287824.0,28847441.0,339243008.0,15069184.0,257085440.0,14096269312.0,4.0,290.0,0.0,98.0,0.0
5.006,14.643,72.966,0.0,7.384,0.0,0.0,0.0,11408241.0,29261509.0,339054592.0,15069184.0,257085440.0,14096457728.0,4.0,290.0,0.0,98.0,0.0
5.860,13.466,73.815,0.249,6.608,0.0,0.0,12288.0,11792235.0,30156775.0,339619840.0,15077376.0,257077248.0,14095892480.0,4.0,290.0,0.0,98.0,0.0
5.625,13.625,73.875,0.0,6.875,0.0,0.0,0.0,11520655.0,29453667.0,334880768.0,15077376.0,257085440.0,14100623360.0,4.0,290.0,0.0,98.0,0.0
5.375,13.875,71.625,0.0,9.125,0.0,0.0,0.0,11706606.0,30036889.0,334761984.0,15077376.0,257085440.0,14100742144.0,4.0,290.0,0.0,98.0,0.0
5.388,14.160,74.060,0.0,6.391,0.0,0.0,0.0,11759722.0,30135135.0,330342400.0,15077376.0,257085440.0,14105161728.0,4.0,290.0,0.0,98.0,0.0
5.486,14.713,73.566,0.0,6.234,0.0,0.0,0.0,12962016.0,33120461.0,330461184.0,15077376.0,257085440.0,14105042944.0,4.0,290.0,0.0,98.0,0.0
5.402,13.945,72.111,0.0,8.543,0.0,0.0,0.0,11617939.0,29830260.0,328806400.0,15077376.0,257085440.0,14106697728.0,4.0,290.0,0.0,98.0,0.0
4.988,13.217,77.805,0.249,3.741,0.0,0.0,12288.0,10654507.0,27216609.0,329392128.0,15085568.0,257077248.0,14106112000.0,4.0,290.0,0.0,98.0,0.0
5.514,14.035,74.687,0.0,5.764,0.0,0.0,0.0,12325837.0,31587846.0,324231168.0,15085568.0,257085440.0,14111264768.0,4.0,290.0,0.0,98.0,0.0
5.493,14.607,73.783,0.0,6.117,0.0,0.0,0.0,12219246.0,31261448.0,324468736.0,15085568.0,257085440.0,14111027200.0,4.0,290.0,0.0,98.0,0.0
5.993,14.107,72.659,0.0,7.241,0.0,0.0,0.0,11078400.0,28336616.0,321351680.0,15085568.0,257089536.0,14114140160.0,4.0,290.0,0.0,98.0,0.0
6.008,13.767,73.592,0.0,6.633,0.0,0.0,0.0,10722945.0,27503892.0,317792256.0,15085568.0,257089536.0,14117699584.0,4.0,290.0,0.0,98.0,0.0
5.514,14.035,72.306,0.0,8.145,0.0,0.0,36864.0,11030482.0,28262239.0,318693376.0,15085568.0,257089536.0,14116798464.0,4.0,290.0,0.0,98.0,0.0
4.738,12.469,68.828,2.369,11.596,0.0,0.0,20480.0,8620845.0,21585577.0,315604992.0,15093760.0,257081344.0,14119886848.0,4.0,290.0,0.0,99.0,0.0
5.639,14.035,74.185,0.0,6.140,0.0,0.0,0.0,12064332.0,30863782.0,315740160.0,15093760.0,257089536.0,14119743488.0,4.0,290.0,0.0,99.0,0.0
5.618,14.107,73.159,0.0,7.116,0.0,0.0,0.0,11743236.0,30088993.0,313753600.0,15093760.0,257089536.0,14121730048.0,4.0,290.0,0.0,99.0,0.0
5.750,14.0,73.750,0.0,6.500,0.0,0.0,0.0,12380661.0,31723710.0,311869440.0,15093760.0,257089536.0,14123614208.0,4.0,290.0,0.0,3.0,0.0
4.498,15.686,69.896,0.0,9.919,0.0,0.0,61440.0,9979965.0,25547134.0,310145024.0,15093760.0,257089536.0,14125338624.0,4.0,290.0,0.0,3.0,0.0
6.131,14.305,72.888,0.0,6.676,0.0,0.0,0.0,9391400.0,24093094.0,309948416.0,15093760.0,257089536.0,14125535232.0,4.0,290.0,0.0,3.0,0.0
6.015,13.910,73.810,0.376,5.890,0.0,0.0,20480.0,11222755.0,28725141.0,309108736.0,15101952.0,257081344.0,14126374912.0,4.0,290.0,0.0,3.0,0.0
4.875,13.875,74.625,0.0,6.625,0.0,0.0,0.0,11290889.0,28848734.0,312000512.0,15101952.0,257089536.0,14123474944.0,4.0,290.0,0.0,3.0,0.0
6.008,13.892,73.842,0.0,6.258,0.0,0.0,0.0,11630432.0,29815673.0,324681728.0,15101952.0,257089536.0,14110793728.0,4.0,290.0,0.0,3.0,0.0
5.868,13.858,73.408,0.0,6.866,0.0,0.0,0.0,12081422.0,30894912.0,324599808.0,15101952.0,257089536.0,14110875648.0,4.0,290.0,0.0,3.0,0.0
5.388,14.160,73.559,0.0,6.892,0.0,0.0,0.0,11346945.0,29074518.0,323944448.0,15101952.0,257089536.0,14111531008.0,4.0,290.0,0.0,3.0,0.0
5.743,13.858,74.407,0.0,5.993,0.0,0.0,0.0,11526617.0,29506734.0,323932160.0,15101952.0,257089536.0,14111543296.0,4.0,290.0,0.0,2.0,0.0
